Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,DeathsPer,Recovered,RecoveredChange
03/03/2020,1,,0,,0.0,,
03/04/2020,1,0,0,0,0.0,,
03/05/2020,2,1,0,0,0.0,,
03/06/2020,8,6,0,0,0.0,0,
03/07/2020,9,1,1,1,11.11,0,0
03/08/2020,12,3,1,0,8.33,0,0
03/09/2020,17,5,1,0,5.88,,
03/10/2020,19,2,1,0,5.26,0,
03/11/2020,21,2,1,0,4.76,0,0
03/12/2020,31,10,1,0,3.23,0,0
03/13/2020,34,3,2,1,5.88,0,0
03/14/2020,45,11,2,0,4.44,0,0
03/15/2020,56,11,2,0,3.57,,
03/16/2020,65,9,2,0,3.08,3,
03/17/2020,79,14,2,0,2.53,3,0
03/18/2020,97,18,2,0,2.06,3,0
03/19/2020,128,31,3,1,2.34,3,0
03/20/2020,158,30,3,0,1.9,3,0
03/21/2020,225,67,4,1,1.78,27,24
03/22/2020,266,41,4,0,1.5,27,0
03/23/2020,301,35,4,0,1.33,27,0
03/24/2020,387,86,6,2,1.55,51,24
03/25/2020,502,115,8,2,1.59,51,0
03/26/2020,589,87,12,4,2.04,51,0
03/27/2020,690,101,17,5,2.46,51,0
03/28/2020,745,55,19,2,2.55,51,0
03/29/2020,820,75,20,1,2.44,51,0
03/30/2020,966,146,24,4,2.48,51,0
03/31/2020,1054,88,27,3,2.56,240,189
04/01/2020,1133,79,31,4,2.74,240,0
04/02/2020,1265,132,36,5,2.85,240,0
04/03/2020,1353,88,42,6,3.1,248,8
04/04/2020,1451,98,43,1,2.96,248,0
04/05/2020,1554,103,46,3,2.96,280,32
04/06/2020,1628,74,53,7,3.26,266,-14
04/07/2020,1715,87,60,7,3.5,266,0
04/08/2020,1795,80,65,5,3.62,358,92
04/09/2020,1894,99,79,14,4.17,365,7
04/10/2020,1975,81,82,3,4.15,365,0
04/11/2020,2137,162,89,7,4.16,375,10
04/12/2020,2203,66,94,5,4.27,440,65
04/13/2020,2272,69,98,4,4.31,468,28
04/14/2020,2432,160,105,7,4.32,515,47
04/15/2020,2560,128,112,7,4.38,559,44
04/16/2020,2658,98,122,10,4.59,631,72
04/17/2020,2747,89,129,7,4.7,630,-1
04/18/2020,2828,81,132,3,4.67,665,35
04/19/2020,2930,102,134,2,4.57,708,43
04/20/2020,3020,90,142,8,4.7,737,29
04/21/2020,3133,113,151,9,4.82,840,103
04/22/2020,3276,143,159,8,4.85,836,-4
04/23/2020,3423,147,165,6,4.82,833,-3
04/24/2020,3595,172,176,11,4.9,833,0
04/25/2020,3767,172,185,9,4.91,965,132
04/26/2020,3879,112,192,7,4.95,1096,131
04/27/2020,3990,111,197,5,4.94,1129,33
04/28/2020,4114,124,207,10,5.03,1151,22
04/29/2020,4272,158,214,7,5.01,1181,30
04/30/2020,4415,143,218,4,4.94,1256,75
05/01/2020,4519,104,225,7,4.98,1299,43
05/02/2020,4668,149,237,12,5.08,1297,-2
05/03/2020,4770,102,246,9,5.16,1297,0
05/04/2020,4874,104,260,14,5.33,1341,44
05/05/2020,5007,133,264,4,5.27,1472,131
05/06/2020,5195,188,273,9,5.26,1511,39
05/07/2020,5358,163,282,9,5.26,1524,13
05/08/2020,5598,240,293,11,5.23,1646,122
05/09/2020,5763,165,300,7,5.21,1715,69
05/10/2020,6021,258,305,5,5.07,1659,-56
05/11/2020,6265,244,314,9,5.01,1824,165
05/12/2020,6550,285,319,5,4.87,1849,25
05/13/2020,6866,316,329,10,4.79,2253,404
05/14/2020,7121,255,353,24,4.96,2372,119
05/15/2020,7466,345,356,3,4.77,2372,0
05/16/2020,7792,326,363,7,4.66,2521,149
05/17/2020,8055,263,373,10,4.63,2556,35
05/18/2020,8358,303,382,9,4.57,2612,56
05/19/2020,8796,438,393,11,4.47,2859,247
05/20/2020,9270,474,403,10,4.35,2920,61
05/21/2020,9918,648,416,13,4.19,2920,0
05/22/2020,10636,718,433,17,4.07,3062,142
05/23/2020,11340,704,445,12,3.92,3517,455
05/24/2020,12063,723,452,7,3.75,3062,-455
05/25/2020,12615,552,467,15,3.7,3062,0
05/26/2020,13215,600,490,23,3.71,4154,1092
05/27/2020,13920,705,500,10,3.59,4349,195
05/28/2020,14689,769,508,8,3.46,4617,268
05/29/2020,15406,717,520,12,3.38,4788,171
05/30/2020,16201,795,528,8,3.26,4775,-13
05/31/2020,16838,637,539,11,3.2,4788,13
06/01/2020,17402,564,556,17,3.2,5336,548
06/02/2020,18306,904,569,13,3.11,5709,373
06/03/2020,19255,949,583,14,3.03,5696,-13
06/04/2020,20184,929,608,25,3.01,5993,297
06/05/2020,21024,840,632,24,3.01,6088,95
06/06/2020,22007,983,648,16,2.94,6075,-13
06/07/2020,22781,774,664,16,2.91,6896,821
06/08/2020,23607,826,693,29,2.94,7305,409
06/09/2020,24748,1141,717,24,2.9,7568,263
06/10/2020,25974,1226,735,18,2.83,7991,423
06/11/2020,27360,1386,765,30,2.8,8332,341
06/12/2020,28751,1391,785,20,2.73,8730,398
06/13/2020,30282,1531,815,30,2.69,8743,13
06/14/2020,31564,1282,833,18,2.64,9070,327
06/15/2020,32772,1208,854,21,2.61,9070,0
06/16/2020,34146,1374,878,24,2.57,9878,808
06/17/2020,35539,1393,913,35,2.57,10161,283
06/18/2020,37497,1958,948,35,2.53,10499,338
06/19/2020,39557,2060,979,31,2.47,10708,209
06/20/2020,41191,1634,992,13,2.41,11838,1130
06/21/2020,42772,1581,1011,19,2.36,12193,355
06/22/2020,44918,2146,1043,32,2.32,13153,960
06/23/2020,47203,2285,1078,35,2.28,13140,-13
06/24/2020,49838,2635,1116,38,2.24,13563,423
06/25/2020,52444,2606,1150,34,2.19,13803,240
06/26/2020,55330,2886,1184,34,2.14,13576,-227
06/27/2020,57731,2401,1207,23,2.09,18403,4827
06/28/2020,59920,2189,1232,25,2.06,19130,727
06/29/2020,62255,2335,1280,48,2.06,21125,1995
06/30/2020,64517,2262,1307,27,2.03,21125,0
07/01/2020,67184,2667,1351,44,2.01,22013,888
07/02/2020,69928,2744,1385,34,1.98,23025,1012
07/03/2020,72773,2845,1437,52,1.97,24171,1146
07/04/2020,75363,2590,1481,44,1.97,25211,1040
07/05/2020,77802,2439,1507,26,1.94,25917,706
07/06/2020,80434,2632,1582,75,1.97,28518,2601
07/07/2020,83413,2979,1644,62,1.97,30082,1564
07/08/2020,87017,3604,1694,50,1.95,36489,6407
07/09/2020,90680,3663,1720,26,1.9,38300,1811
07/10/2020,94047,3367,1774,54,1.89,38971,671
07/11/2020,97496,3449,1810,36,1.86,38971,0
07/12/2020,100153,2657,1845,35,1.84,38971,0
